token	lines	share	name_follower	sample_line
4	1393	0.0068	0.62	4 Alfonso electrician h 85 Ashland pi
41	537	0.0026	0.94	41 Edgar W china 29 Barclay Mhtn h 1146 Dean
14	516	0.0025	0.99	14 Wm carp’r h 420 Waverly ay
1	496	0.0024	0.19	1 Edwin E bed mfr 116 Elizabeth Mhtn b 390 Park pi
*	471	0.0023	0.41	* Thos F cigars 53 G’point av
'*	317	0.0015	0.99	'* Peroxide & Chemical Co 356 13th
—	311	0.0015	0.24	— ■ Telephone Call:
*'	282	0.0014	0.98	*' H’y chemicals h 291 Stockton
‘	204	0.0010	0.84	‘ Albert salesman h 90 Waverly av
4‘	136	0.0007	0.99	4‘ Truss Co 481 Fulton
'	93	0.0005	0.45	' Clinton boat capt h 47 2d
”	92	0.0004	0.92	” Edw’d painter h 440 Pacific
317	88	0.0004	0.94	317 Washington St,
.	85	0.0004	0.14	. 1 330 Lenox Ave.
2	79	0.0004	0.87	2 w -*1 c ^ »
723	73	0.0004	0.00	723 6th AVENUE, NEW YORK,,
•	71	0.0003	0.39	• “ Wm A realestate 2000 Fulton h 24 Suydam
&	69	0.0003	0.88	& Co painters 846 Fulton
,	64	0.0003	0.22	, “ Wilbur painter h 229 52d
4*	64	0.0003	0.98	4* Jos cutter h 197 Stockton
140	60	0.0003	0.05	140 Broadway, Borough of Manhattan CAPITAL, SURPLUS AND UNDIVIDED
!	59	0.0003	0.15	! 44 Philip meat Wallabout mkt h 687 Quincy
*4	59	0.0003	0.95	*4 Sam’l tailor 144 Goerek Mhtn h 117 S 1st
201	56	0.0003	0.02	201 Huntington
|	51	0.0002	0.20	| 44 Sam'l pictures 1092 Bedford av
*•	49	0.0002	0.98	*• Ellis H sec 26 Court h 442 Greene av
•*	48	0.0002	0.98	•* Benj S pres’t 37 Warren Mhtn h 1162 Pacific
-	47	0.0002	0.23	- 44 Hilma wid Eric h 5722 7th av
401	47	0.0002	0.02	401 Marlborough rd
101	46	0.0002	0.00	101 102 Gravesend av
11	41	0.0002	0.85	11 John C (Rev) pres’t 3 W 29th Mhtn h 296 Carlton av
301	39	0.0002	0.00	301 302 E. 3d
501	38	0.0002	0.03	501 Rugby rd
••	32	0.0002	0.94	•• Day Line 4 Court & 860 Fulton
^	29	0.0001	0.31	^ pi 13 u -
87	29	0.0001	0.07	87 Joralemon
;	25	0.0001	0.56	; 44 John foreman h 168 35th
‘‘	25	0.0001	1.00	‘‘ Geo W pilot h 415 Madison
‘4	24	0.0001	1.00	‘4 Geo h 283 S 4th
19	24	0.0001	0.17	19 State Street, NEW YORK ... 12 South Delaware Avenue, PHILADELPHIA, PA.
